ListingKey,Term,BorrowerRate,ProsperRating (Alpha),IsBorrowerHomeowner,CreditScore
11A236001770344120C6856,36,0.0809,AA,True,729
11A33599005391942488F1E,36,0.285,E,True,649
11AF356472253881746F81A,36,0.2346,D,False,609
11BE35842473562903D159C,60,0.1419,B,True,809
11C8359156145385216A0A4,60,0.18,C,True,729
11D335932344051959C94C6,36,0.0605,AA,True,829
11DB359615393503181349A,36,0.162,C,False,709
2EAF3583227932540324550,60,0.2099,C,True,709
2EB235404452915583086B8,36,0.0899,A,True,689
2EB335483770727688D22E1,36,0.2499,D,True,729
2EBC35024596954310A1C10,36,0.322,E,True,689
2EC43601682755421E3D409,36,0.15,B,False,689
2FFE3582297496473582C07,36,0.2932,E,False,609
300135506070437702CDEB9,12,0.0817,A,False,749
11DD3574038642978A7FBC5,60,0.2259,C,True,729
100534670674655827E7F4A,36,0.201,C,False,669
101934972144982495F9628,36,0.275,D,False,669
10193577892073873339872,36,0.2712,E,False,669
300534705117226858F0631,36,0.2379,D,False,669
30213585293212475746CC7,36,0.1774,C,False,729
30223602071250433F786E9,36,0.1139,A,False,689
30423527854712576FEBDB0,36,0.3149,E,False,729
2ED23547507547938DE4F13,36,0.2958,E,True,649
2ED43565508892492DD0A1E,36,0.1034,A,False,749
101F35507532151104C0F0D,36,0.3177,HR,False,689
1023354737099538398D0DE,36,0.3177,HR,True,689
10533518599067155D72A89,36,0.3199,E,True,689
105B3560601023947B9F8AC,36,0.2346,D,False,709
105D3483880974848E4B816,36,0.3495,HR,False,629
10613551817803285FC67B9,60,0.2573,D,False,729
106D35088985315162A8CEC,36,0.3199,E,False,689
2EDB3601096117346696CD1,36,0.1274,B,False,709
2EEF356260836677934513B,60,0.2489,D,True,769
2EFC36028887817232507BC,60,0.1355,B,False,689
2F073602314370159514FCD,60,0.1314,B,False,709
2F1035566338882234E499E,60,0.1364,A,False,749
3046355508616928265C00B,36,0.3177,HR,True,669
306535373864632983A6F72,36,0.2552,D,True,729
107B3579299661826B2AED7,36,0.1509,B,True,769
107C35242759033753499C3,36,0.139,A,False,729
10883544668474261D10D45,36,0.1874,C,False,689
117B3579340421176C5411E,36,0.1824,C,True,689
117D35263025464740DF5E5,36,0.2699,D,False,749
11973532005986614640129,36,0.2599,D,False,709
11983601631322682D1C886,60,0.2624,E,True,669
11A135199726786497942E3,36,0.2699,D,False,689
306736023790192924ADC4E,36,0.1314,B,True,689
306936024573363075E56A0,60,0.1355,B,True,729
306A3553127628328914D5D,36,0.2839,E,False,649
308E3592401696250EA40B6,60,0.1199,A,True,749
30923592331569315C0A8B1,36,0.198,C,False,709
309735396699401618D1EB6,36,0.1449,B,False,709
309B3541958507940650040,36,0.2287,D,False,649
00773599091353280B945F9,36,0.215,D,True,689
007E3514116527235C01921,36,0.2199,D,True,709
00813577272224430FC1CAA,36,0.2859,E,False,669
00873485276243227609735,36,0.2625,D,False,649
008C3508301726590943A48,36,0.2699,D,False,669
